"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1254","test_create_user","tests","2026-09-19","passed","2026-09-19","","test_user","",""
"","1321","test_get_userbyemail","tests","2026-09-19","passed","2026-09-19","","test_user","",""
